Stock,Sector,MSE_day1,RMSE_day1,R2_day1,MSE_all,RMSE_all,R2_all,Next_7_Days,Model_File,Plot_File,Train_Epochs
HUL,Unknown,1560.8616949963364,39.50774221587886,0.9502531773308247,4278.830400878259,65.41276940229835,0.8637968879892064,"[2598.8024240553377, 2604.5255933880803, 2596.557972589135, 2597.289908733964, 2602.523413863778, 2589.249929741025, 2589.9101814180613]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\HUL_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\HUL_day1_plot.png,30
ICICI bnk,Unknown,4262.057173179874,65.28443285485349,0.8204762718370868,4543.791676885399,67.40765295487894,0.8051351381059368,"[1316.3041873168943, 1285.6958721160888, 1309.5427786254882, 1335.7065110778808, 1337.3251446533204, 1324.2443817901612, 1310.52626914978]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\ICICI bnk_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\ICICI bnk_day1_plot.png,11
Indusind bnk,Unknown,2068.7690258674384,45.48372264742012,0.9797421352396043,3843.8787014694667,61.999021778327005,0.9625903528502309,"[797.9410498321057, 790.7162480011583, 782.4898330301047, 799.5760601341725, 798.9705767810345, 799.9885071843863, 807.9584127247334]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Indusind bnk_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Indusind bnk_day1_plot.png,19
Infosys,Unknown,2565.969618672558,50.65540068613176,0.9207446234489401,3972.8908567693197,63.03087225137631,0.8762326189597831,"[1478.3487169265748, 1472.0693146109581, 1475.612360906601, 1484.1839225411416, 1496.5957174420357, 1473.4124320268631, 1491.419353914261]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Infosys_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Infosys_day1_plot.png,18
ITC,Unknown,54.14941629689327,7.3586286967677115,0.9481384368171459,129.74889336185183,11.390737173767633,0.8767302983409111,"[412.96651178598404, 415.03734177351, 413.3039135634899, 414.14028948545456, 413.4087934792042, 414.80665519833565, 411.22643625736237]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\ITC_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\ITC_day1_plot.png,30
JIO finance,Unknown,103.84353303563722,10.190364715535809,0.3951695377822829,123.31069659850395,11.104534956426765,0.1861386199022158,"[305.5383098769188, 302.7889585673809, 300.2812927913666, 302.67501632392407, 300.21751590311527, 303.5865542715788, 305.6871003204584]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\JIO finance_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\JIO finance_day1_plot.png,12
JSW steel,Unknown,1478.047657523393,38.44538538658954,0.8277972593062047,1804.4991239665005,42.47939646424488,0.7902668149531343,"[1075.4603888750078, 1078.0937304329873, 1070.8047323107721, 1076.4791988015177, 1074.9344468951226, 1079.8629318082333, 1084.1673551094534]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\JSW steel_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\JSW steel_day1_plot.png,23
Kotak mahindra bnk,Unknown,3001.47949808806,54.78575999370694,0.8770353592633514,4454.729507900481,66.74376006714397,0.8205271374829334,"[2164.4438209563496, 2174.966859257221, 2183.540100771189, 2177.223642796278, 2144.8549160629514, 2170.3228302389384, 2136.850179541111]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Kotak mahindra bnk_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Kotak mahindra bnk_day1_plot.png,14
L&T,Unknown,10133.445521435711,100.6650163732948,0.7092530993141174,16236.27707601504,127.42165073493217,0.5099982017773463,"[3836.562101316452, 3811.8964838266374, 3839.7923846960066, 3830.377836740017, 3839.054420375824, 3878.5335806727408, 3839.021982383728]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\L&T_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\L&T_day1_plot.png,30
M&M,Unknown,18035.788773621254,134.2973893030734,0.9473009419364727,23048.74417622083,151.81812861519808,0.9318643932879853,"[3337.058132040501, 3511.3380870103833, 3344.254000681639, 3420.945311331749, 3397.615784275532, 3355.9144742667677, 3324.1885073840617]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\M&M_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\M&M_day1_plot.png,27
Maruti Suzuki,Unknown,85431.17430179336,292.28611718963555,0.9481710141596776,196216.804767662,442.9636607755336,0.8867561985244512,"[16392.126229941845, 16382.647418767214, 16268.93312612176, 16380.880409270525, 16172.833119869232, 16301.545770257711, 16075.899129152298]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Maruti Suzuki_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Maruti Suzuki_day1_plot.png,30
Nestle ind,Unknown,608.848284040164,24.67485124656609,0.8720032441365523,1275.2550453105155,35.71071331282134,0.7330003634529274,"[1241.2549179404973, 1235.2338834166526, 1254.2382586985825, 1244.2749433368444, 1247.272458308935, 1237.3207005381582, 1241.7202453672885]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Nestle ind_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Nestle ind_day1_plot.png,30
